service	food	tip
0	0	4,99
0	1	4,99
0	2	4,99
0	3	4,99
0	4	4,99
0	5	4,99
0	6	4,99
0	7	4,99
0	8	4,99
0	9	4,99
1	0	4,99
1	1	4,99
1	2	4,99
1	3	4,99
1	4	4,99
1	5	4,99
1	6	4,99
1	7	4,99
1	8	4,99
1	9	4,99
2	0	8,56
2	1	8,63
2	2	8,84
2	3	8,84
2	4	8,84
2	5	8,84
2	6	8,84
2	7	8,84
2	8	8,84
2	9	8,84
3	0	9,7
3	1	9,77
3	2	9,99
3	3	10,42
3	4	10,42
3	5	10,42
3	6	10,42
3	7	10,42
3	8	10,42
3	9	10,42
4	0	9,99
4	1	10,06
4	2	10,28
4	3	10,71
4	4	11,42
4	5	11,42
4	6	11,42
4	7	11,42
4	8	11,42
4	9	11,42
5	0	12,28
5	1	12,37
5	2	12,64
5	3	13,15
5	4	13,98
5	5	15,32
5	6	15,32
5	7	15,32
5	8	15,32
5	9	15,32
6	0	13,63
6	1	13,73
6	2	14,01
6	3	14,54
6	4	15,38
6	5	16,71
6	6	18,88
6	7	18,88
6	8	18,88
6	9	18,88
7	0	14,41
7	1	14,51
7	2	14,81
7	3	15,37
7	4	16,25
7	5	17,62
7	6	19,84
7	7	19,84
7	8	19,84
7	9	19,84
8	0	14,84
8	1	14,96
8	2	15,3
8	3	15,94
8	4	16,96
8	5	18,6
8	6	21,32
8	7	21,32
8	8	21,32
8	9	21,32
9	0	15,01
9	1	15,16
9	2	15,6
9	3	16,45
9	4	17,88
9	5	20,34
9	6	25
9	7	25
9	8	25
9	9	25
